mp_head_slot,head_const,head_id,file_const,file_id,rom_or_external_filename,require_feature,availability_note
0x4F,HEAD_ODDJOB,0x009A,FILE_CHEADODDJOBZ,0x07EB,,0,not_platform_n64
0x50,HEAD_TREVELYAN_Z,0x009F,FILE_CHEADTREVELYANZ,0x07EE,,0,not_platform_n64
0x51,HEAD_BROSNAN_CLASSIC,0x00A0,FILE_CHEADBROSNANZ,0x07F2,,0,not_platform_n64
0x52,HEAD_DALTON_CLASSIC,0x00A1,FILE_CHEADDALTONZ,0x07F5,,0,not_platform_n64
0x53,HEAD_CONNERY_CLASSIC,0x00A2,FILE_CHEADCONNERYZ,0x07F7,,0,not_platform_n64
0x54,HEAD_MOORE_CLASSIC,0x00A3,FILE_CHEADMOOREZ,0x07FA,,0,not_platform_n64
0x55,HEAD_LAZENBY_CLASSIC,0x00A4,FILE_CHEADLAZENBYZ,0x07FC,,0,not_platform_n64
0x56,HEAD_JAWS_Z,0x00A5,FILE_CHEADJAWSZ,0x07FE,,0,not_platform_n64
0x57,HEAD_SNOWGUARD_Z,0x00A6,FILE_CHEADSNOWGUARDZ,0x0800,,0,not_platform_n64
0x58,HEAD_BROSNAN_VARIANT,0x00A7,FILE_CHEADBROSNAN2Z,0x0803,,0,not_platform_n64
0x59,HEAD_MISHKIN_Z,0x00A8,FILE_CHEADMISHKINZ,0x0805,,0,not_platform_n64
0x5A,HEAD_BORIS_Z,0x00A9,FILE_CHEADBORISZ,0x080E,,0,not_platform_n64
0x5B,HEAD_VALENTIN_Z,0x00AA,FILE_CHEADVALENTINZ,0x0811,,0,not_platform_n64
0x5C,HEAD_MAYDAY_Z,0x00AB,FILE_CHEADMAYDAYZ,0x0813,,0,not_platform_n64
0x5D,HEAD_BARON_SAMEDI_Z,0x00AC,FILE_CHEADBARONSAMEDIZ,0x0816,,0,not_platform_n64
0x5E,HEAD_BARON_SAMEDI_DEATH_Z,0x00AD,FILE_CHEADBARONSAMEDI2Z,0x0819,,0,not_platform_n64
0x5F,HEAD_SANTA_Z,0x00AE,FILE_CHEADSANTAZ,0x081C,,0,not_platform_n64
0x60,HEAD_ELF_Z,0x00AF,FILE_CHEADELFZ,0x081F,,0,not_platform_n64
0x61,HEAD_PILOT_Z,0x00B0,FILE_CHEADPILOTZ,0x0822,,0,not_platform_n64
0x62,HEAD_MARION_Z,0x00B1,FILE_CHEADMARIONZ,0x0825,,0,not_platform_n64
0x63,HEAD_GALORE_Z,0x00B2,FILE_CHEADGALOREZ,0x082B,,0,not_platform_n64
0x64,HEAD_SOGUN_Z,0x00B3,FILE_CHEADSOGUNZ,0x082F,,0,not_platform_n64
0x65,HEAD_DOAK_Z1,0x00D3,FILE_CHEADDAVEDZ,0x0834,,0,not_platform_n64
0x66,HEAD_DOAK_Z2,0x00D4,FILE_CHEADDAVED2Z,0x0835,,0,not_platform_n64
0x67,HEAD_TERRORIST_Z,0x00D5,FILE_CHEADBALACLAVAZ,0x0836,,0,not_platform_n64
0x68,HEAD_DWAYNE_Z,0x00D6,FILE_CHEADDWAYNEZ,0x0837,,0,not_platform_n64
0x69,HEAD_KARL_Z1,0x00D7,FILE_CHEADKARLZ,0x0838,,0,not_platform_n64
0x6A,HEAD_KARL_Z2,0x00D8,FILE_CHEADKARL2Z,0x0839,,0,not_platform_n64
0x6B,HEAD_MARTIN_Z,0x00D9,FILE_CHEADMARTINZ,0x083A,,0,not_platform_n64
0x6C,HEAD_MARK_EDMONDS_Z,0x00DA,FILE_CHEADMARK0Z,0x083B,,0,not_platform_n64
0x6D,HEAD_DUNCAN_Z1,0x00DB,FILE_CHEADDUNCAN0Z,0x083C,,0,not_platform_n64
0x6E,HEAD_DUNCAN_Z2,0x00DC,FILE_CHEADDUNCAN01Z,0x083D,,0,not_platform_n64
0x6F,HEAD_B_JONES_Z,0x00DD,FILE_CHEADJONES0Z,0x083E,,0,not_platform_n64
0x70,HEAD_GRANT_Z,0x00DE,FILE_CHEADGRANT0Z,0x083F,,0,not_platform_n64
0x71,HEAD_ROBIN_Z,0x00DF,FILE_CHEADROBIN0Z,0x0840,,0,not_platform_n64
0x72,HEAD_GRAEME_Z1,0x00E0,FILE_CHEADGRAEMEZ,0x0841,,0,not_platform_n64
0x73,HEAD_GRAEME_Z2,0x00E1,FILE_CHEADGRAEME2Z,0x0842,,0,not_platform_n64
0x74,HEAD_STEVE_ELLIS_Z,0x00E2,FILE_CHEADSTEVE_EZ,0x0843,,0,not_platform_n64
0x75,HEAD_KEN_LOBB_Z,0x00E3,FILE_CHEADKEN0Z,0x0844,,0,not_platform_n64
0x76,HEAD_EVIL_CYBORG,0x00E4,FILE_CHEADEVILCYBORGZ,0x0845,,0,not_platform_n64
0x77,HEAD_ROBOT_SKELINGTON,0x00E6,FILE_CHEADBARONSAMEDI2Z,0x0819,,0,not_platform_n64
