mp_slot,character_name,mpbody_const,body_id,head_id,asset_role,asset_const,file_const,file_id,rom_or_external_filename,loose_override_exists,texture_ids_from_reference,reference_display_name,notes,mp_head_slot,mp_head_const,mp_head_require_feature,mp_head_availability_note,master_row_type,master_source
0x03,Joanna Frock (Ripped),MPBODY_DARK_RIPPED,0x006D,0x000C,HEAD,HEAD_DARK_FROCK,FILE_CHEADDARK_FROCK,0x01A4,Cheaddark_frockZ,False,,Dark Frock,,0x01,HEAD_DARK_FROCK,MPFEATURE_CHR_CI,base,fixed_head_also_in_mp_pool,mp_character_model_assets_2026-06-18.csv
0x03,Joanna Frock (Ripped),MPBODY_DARK_RIPPED,0x006D,0x000C,HAND,,FILE_GHAND_JOFROCK,0x052B,Ghand_jofrockZ,False,,Dark Frock,,,,,,original_asset_row,mp_character_model_assets_2026-06-18.csv
0x04,Joanna Stewardess,MPBODY_DARK_AF1,0x0086,0x0004,BODY,BODY_DARK_AF1,FILE_CDARK_AF1,0x033C,Cdark_af1Z,False,,Dark Combat,,,,,,original_asset_row,mp_character_model_assets_2026-06-18.csv
0x04,Joanna Stewardess,MPBODY_DARK_AF1,0x0086,0x0004,HEAD,HEAD_DARK_COMBAT,FILE_CHEADDARK_COMBAT,0x019C,Cheaddark_combatZ,False,,Dark Combat,,0x00,HEAD_DARK_COMBAT,0,base,fixed_head_also_in_mp_pool,mp_character_model_assets_2026-06-18.csv
0x04,Joanna Stewardess,MPBODY_DARK_AF1,0x0086,0x0004,HAND,,FILE_GHAND_JOPILOT,0x0530,Ghand_jopilotZ,False,,Dark Combat,,,,,,original_asset_row,mp_character_model_assets_2026-06-18.csv
0x05,Joanna Leather,MPBODY_DARK_LEATHER,0x0095,0x0004,BODY,BODY_DARK_LEATHER,FILE_CDARK_LEATHER,0x0559,Cdark_leatherZ,False,,Dark Combat,,,,,,original_asset_row,mp_character_model_assets_2026-06-18.csv
0x05,Joanna Leather,MPBODY_DARK_LEATHER,0x0095,0x0004,HEAD,HEAD_DARK_COMBAT,FILE_CHEADDARK_COMBAT,0x019C,Cheaddark_combatZ,False,,Dark Combat,,0x00,HEAD_DARK_COMBAT,0,base,fixed_head_also_in_mp_pool,mp_character_model_assets_2026-06-18.csv
0x05,Joanna Leather,MPBODY_DARK_LEATHER,0x0095,0x0004,HAND,,FILE_GHAND_JOFROCK,0x052B,Ghand_jofrockZ,False,,Dark Combat,,,,,,original_asset_row,mp_character_model_assets_2026-06-18.csv
0x06,Joanna Negotiator,MPBODY_DARK_NEGOTIATOR,0x0096,0x0004,BODY,BODY_DARK_NEGOTIATOR,FILE_CDARK_NEGOTIATOR,0x0796,Cdark_negotiatorZ,False,,Dark Combat,,,,,,original_asset_row,mp_character_model_assets_2026-06-18.csv
0x06,Joanna Negotiator,MPBODY_DARK_NEGOTIATOR,0x0096,0x0004,HEAD,HEAD_DARK_COMBAT,FILE_CHEADDARK_COMBAT,0x019C,Cheaddark_combatZ,False,,Dark Combat,,0x00,HEAD_DARK_COMBAT,0,base,fixed_head_also_in_mp_pool,mp_character_model_assets_2026-06-18.csv
0x06,Joanna Negotiator,MPBODY_DARK_NEGOTIATOR,0x0096,0x0004,HAND,,FILE_GHAND_JOAF1,0x052F,Ghand_joaf1Z,False,,Dark Combat,,,,,,original_asset_row,mp_character_model_assets_2026-06-18.csv
0x07,Joanna Wet Suit,MPBODY_DARKWET,0x0087,0x002F,BODY,BODY_DARKWET,FILE_CDARKWET,0x049E,CdarkwetZ,False,,Darkaqua,,,,,,original_asset_row,mp_character_model_assets_2026-06-18.csv
0x07,Joanna Wet Suit,MPBODY_DARKWET,0x0087,0x002F,HEAD,HEAD_DARKAQUA,FILE_CHEADDARKAQUA,0x04AD,CheaddarkaquaZ,False,,Darkaqua,,0x02,HEAD_DARKAQUA,MPFEATURE_CHR_PELAGIC,base,fixed_head_also_in_mp_pool,mp_character_model_assets_2026-06-18.csv
0x07,Joanna Wet Suit,MPBODY_DARKWET,0x0087,0x002F,HAND,,FILE_GHAND_JOWETSUIT,0x0529,Ghand_jowetsuitZ,False,,Darkaqua,,,,,,original_asset_row,mp_character_model_assets_2026-06-18.csv
0x08,Joanna Aqualung,MPBODY_DARKAQUALUNG,0x0088,0x002F,BODY,BODY_DARKAQUALUNG,FILE_CDARKAQUALUNG,0x049F,CdarkaqualungZ,False,,Darkaqua,,,,,,original_asset_row,mp_character_model_assets_2026-06-18.csv
0x08,Joanna Aqualung,MPBODY_DARKAQUALUNG,0x0088,0x002F,HEAD,HEAD_DARKAQUA,FILE_CHEADDARKAQUA,0x04AD,CheaddarkaquaZ,False,,Darkaqua,,0x02,HEAD_DARKAQUA,MPFEATURE_CHR_PELAGIC,base,fixed_head_also_in_mp_pool,mp_character_model_assets_2026-06-18.csv
0x08,Joanna Aqualung,MPBODY_DARKAQUALUNG,0x0088,0x002F,HAND,,FILE_GHAND_JOWETSUIT,0x0529,Ghand_jowetsuitZ,False,,Darkaqua,,,,,,original_asset_row,mp_character_model_assets_2026-06-18.csv
0x09,Joanna Arctic,MPBODY_DARKSNOW,0x0089,0x003C,BODY,BODY_DARKSNOW,FILE_CDARKSNOW,0x04A0,CdarksnowZ,False,,Dark Snow,,,,,,original_asset_row,mp_character_model_assets_2026-06-18.csv
0x09,Joanna Arctic,MPBODY_DARKSNOW,0x0089,0x003C,HEAD,HEAD_DARK_SNOW,FILE_CHEADDARK_SNOW,0x055A,Cheaddark_snowZ,False,,Dark Snow,,0x03,HEAD_DARK_SNOW,MPFEATURE_CHR_DARKSNOW,base,fixed_head_also_in_mp_pool,mp_character_model_assets_2026-06-18.csv
0x09,Joanna Arctic,MPBODY_DARKSNOW,0x0089,0x003C,HAND,,FILE_GHAND_JOSNOW,0x0536,Ghand_josnowZ,False,,Dark Snow,,,,,,original_asset_row,mp_character_model_assets_2026-06-18.csv
0x0A,Joanna Lab Tech.,MPBODY_DARKLAB,0x008A,0x0004,BODY,BODY_DARKLAB,FILE_CDARKLAB,0x04A1,CdarklabZ,False,,Dark Combat,,,,,,original_asset_row,mp_character_model_assets_2026-06-18.csv
0x0A,Joanna Lab Tech.,MPBODY_DARKLAB,0x008A,0x0004,HEAD,HEAD_DARK_COMBAT,FILE_CHEADDARK_COMBAT,0x019C,Cheaddark_combatZ,False,,Dark Combat,,0x00,HEAD_DARK_COMBAT,0,base,fixed_head_also_in_mp_pool,mp_character_model_assets_2026-06-18.csv
0x0A,Joanna Lab Tech.,MPBODY_DARKLAB,0x008A,0x0004,HAND,,FILE_GHAND_MRBLONDE,0x0532,Ghand_mrblondeZ,False,,Dark Combat,,,,,,original_asset_row,mp_character_model_assets_2026-06-18.csv
0x0B,Elvis,MPBODY_THEKING,0x0067,0x0005,BODY,BODY_THEKING,FILE_CTHEKING,0x0056,CthekingZ,False,,Elvis,,,,,,original_asset_row,mp_character_model_assets_2026-06-18.csv
0x0B,Elvis,MPBODY_THEKING,0x0067,0x0005,HEAD,HEAD_ELVIS,FILE_CHEADELVIS,0x019D,CheadelvisZ,False,,Elvis,,0x04,HEAD_ELVIS,MPFEATURE_CHR_ELVIS,base,fixed_head_also_in_mp_pool,mp_character_model_assets_2026-06-18.csv
0x0B,Elvis,MPBODY_THEKING,0x0067,0x0005,HAND,,FILE_GHAND_ELVIS,0x0764,Ghand_elvisZ,False,,Elvis,,,,,,original_asset_row,mp_character_model_assets_2026-06-18.csv
0x0C,Maian,MPBODY_ELVIS1,0x0057,0x0005,BODY,BODY_ELVIS1,FILE_CELVIS1,0x004A,Celvis1Z,False,,Elvis,,,,,,original_asset_row,mp_character_model_assets_2026-06-18.csv
0x0C,Maian,MPBODY_ELVIS1,0x0057,0x0005,HEAD,HEAD_ELVIS,FILE_CHEADELVIS,0x019D,CheadelvisZ,False,,Elvis,,0x04,HEAD_ELVIS,MPFEATURE_CHR_ELVIS,base,fixed_head_also_in_mp_pool,mp_character_model_assets_2026-06-18.csv
0x0C,Maian,MPBODY_ELVIS1,0x0057,0x0005,HAND,,FILE_GHAND_ELVIS,0x0764,Ghand_elvisZ,False,,Elvis,,,,,,original_asset_row,mp_character_model_assets_2026-06-18.csv
0x0D,Elvis (Waistcoat),MPBODY_ELVISWAISTCOAT,0x0094,0x0005,BODY,BODY_ELVISWAISTCOAT,FILE_CELVISWAISTCOAT,0x050C,CelviswaistcoatZ,False,,Elvis,,,,,,original_asset_row,mp_character_model_assets_2026-06-18.csv
0x0D,Elvis (Waistcoat),MPBODY_ELVISWAISTCOAT,0x0094,0x0005,HEAD,HEAD_ELVIS,FILE_CHEADELVIS,0x019D,CheadelvisZ,False,,Elvis,,0x04,HEAD_ELVIS,MPFEATURE_CHR_ELVIS,base,fixed_head_also_in_mp_pool,mp_character_model_assets_2026-06-18.csv
0x0D,Elvis (Waistcoat),MPBODY_ELVISWAISTCOAT,0x0094,0x0005,HAND,,FILE_GHAND_ELVIS,0x0764,Ghand_elvisZ,False,,Elvis,,,,,,original_asset_row,mp_character_model_assets_2026-06-18.csv
0x0E,Daniel Carrington,MPBODY_CARRINGTON,0x005A,0x0007,BODY,BODY_CARRINGTON,FILE_CCARRINGTON,0x0040,CcarringtonZ,False,,Carrington,,,,,,original_asset_row,mp_character_model_assets_2026-06-18.csv
0x0E,Daniel Carrington,MPBODY_CARRINGTON,0x005A,0x0007,HEAD,HEAD_CARRINGTON,FILE_CHEADCARRINGTON,0x019F,CheadcarringtonZ,False,"0x055D,0x055E,0x055F,0x0560,0x5341,0x537C,0x537D",Carrington,,0x06,HEAD_CARRINGTON,0,base,fixed_head_also_in_mp_pool,mp_character_model_assets_2026-06-18.csv
0x0E,Daniel Carrington,MPBODY_CARRINGTON,0x005A,0x0007,HAND,,FILE_GHAND_CARRINGTON,0x0531,Ghand_carringtonZ,False,,Carrington,,,,,,original_asset_row,mp_character_model_assets_2026-06-18.csv
0x0F,Carrington Evening Wear,MPBODY_CARREVENINGSUIT,0x0090,0x0007,BODY,BODY_CARREVENINGSUIT,FILE_CCARREVENINGSUIT,0x04A9,CcarreveningsuitZ,False,,Carrington,,,,,,original_asset_row,mp_character_model_assets_2026-06-18.csv
0x0F,Carrington Evening Wear,MPBODY_CARREVENINGSUIT,0x0090,0x0007,HEAD,HEAD_CARRINGTON,FILE_CHEADCARRINGTON,0x019F,CheadcarringtonZ,False,"0x055D,0x055E,0x055F,0x0560,0x5341,0x537C,0x537D",Carrington,,0x06,HEAD_CARRINGTON,0,base,fixed_head_also_in_mp_pool,mp_character_model_assets_2026-06-18.csv
0x0F,Carrington Evening Wear,MPBODY_CARREVENINGSUIT,0x0090,0x0007,HAND,,FILE_GHAND_MRBLONDE,0x0532,Ghand_mrblondeZ,False,,Carrington,,,,,,original_asset_row,mp_character_model_assets_2026-06-18.csv
0x10,Mr. Blonde,MPBODY_MRBLONDE,0x005B,0x0008,BODY,BODY_MRBLONDE,FILE_CMRBLONDE,0x004E,CmrblondeZ,False,,Mrblonde,,,,,,original_asset_row,mp_character_model_assets_2026-06-18.csv
0x10,Mr. Blonde,MPBODY_MRBLONDE,0x005B,0x0008,HEAD,HEAD_MRBLONDE,FILE_CHEADMRBLONDE,0x01A0,CheadmrblondeZ,False,,Mrblonde,,0x07,HEAD_MRBLONDE,MPFEATURE_CHR_MRBLONDE,base,fixed_head_also_in_mp_pool,mp_character_model_assets_2026-06-18.csv
0x10,Mr. Blonde,MPBODY_MRBLONDE,0x005B,0x0008,HAND,,FILE_GHAND_MRBLONDE,0x0532,Ghand_mrblondeZ,False,,Mrblonde,,,,,,original_asset_row,mp_character_model_assets_2026-06-18.csv
0x11,Cassandra De Vries,MPBODY_CASSANDRA,0x0066,0x000E,BODY,BODY_CASSANDRA,FILE_CCASSANDRA,0x0041,CcassandraZ,False,,Cassandra,,,,,,original_asset_row,mp_character_model_assets_2026-06-18.csv
0x11,Cassandra De Vries,MPBODY_CASSANDRA,0x0066,0x000E,HEAD,HEAD_CASSANDRA,FILE_CHEADCASSANDRA,0x01A6,CheadcassandraZ,False,,Cassandra,,0x08,HEAD_CASSANDRA,0,base,fixed_head_also_in_mp_pool,mp_character_model_assets_2026-06-18.csv
0x11,Cassandra De Vries,MPBODY_CASSANDRA,0x0066,0x000E,HAND,,FILE_GHAND_VRIES,0x0537,Ghand_vriesZ,False,,Cassandra,,,,,,original_asset_row,mp_character_model_assets_2026-06-18.csv
0x12,Trent Easton,MPBODY_TRENT,0x005D,0x0009,BODY,BODY_TRENT,FILE_CTRENT,0x0057,CtrentZ,False,,Trent,,,,,,original_asset_row,mp_character_model_assets_2026-06-18.csv
0x12,Trent Easton,MPBODY_TRENT,0x005D,0x0009,HEAD,HEAD_TRENT,FILE_CHEADTRENT,0x01A1,CheadtrentZ,False,,Trent,,0x09,HEAD_TRENT,MPFEATURE_CHR_TRENT,base,fixed_head_also_in_mp_pool,mp_character_model_assets_2026-06-18.csv
0x12,Trent Easton,MPBODY_TRENT,0x005D,0x0009,HAND,,FILE_GHAND_TRENT,0x052A,Ghand_trentZ,False,,Trent,,,,,,original_asset_row,mp_character_model_assets_2026-06-18.csv
0x13,Jonathan,MPBODY_JONATHAN,0x0091,0x0028,BODY,BODY_JONATHAN,FILE_CJONATHON,0x04AA,CjonathonZ,False,,Jonathan,,,,,,original_asset_row,mp_character_model_assets_2026-06-18.csv
0x13,Jonathan,MPBODY_JONATHAN,0x0091,0x0028,HEAD,HEAD_JONATHAN,FILE_CHEADJONATHAN,0x033A,CheadjonathanZ,False,,Jonathan,,0x0A,HEAD_JONATHAN,MPFEATURE_CHR_INFILTRATION,base,fixed_head_also_in_mp_pool,mp_character_model_assets_2026-06-18.csv
0x13,Jonathan,MPBODY_JONATHAN,0x0091,0x0028,HAND,,FILE_GHAND_A51GUARD,0x0766,Ghand_a51guardZ,False,,Jonathan,,,,,,original_asset_row,mp_character_model_assets_2026-06-18.csv
0x14,CI Male Lab Technician,MPBODY_CILABTECH,0x008E,,BODY,BODY_CILABTECH,FILE_CCILABTECH,0x04A5,CcilabtechZ,False,,Dynamic pool,dynamic head pool,,,,,original_asset_row,mp_character_model_assets_2026-06-18.csv
0x14,CI Male Lab Technician,MPBODY_CILABTECH,0x008E,0x0004,HEAD_DYNAMIC_OPTION,HEAD_DARK_COMBAT,FILE_CHEADDARK_COMBAT,0x019C,Cheaddark_combatZ,False,,Dynamic head pool,expanded from 1000(dynamic) body slot; selectable MP head option,0x00,HEAD_DARK_COMBAT,0,base,expanded_dynamic_head,mp_character_model_assets_2026-06-18.csv+mp_dynamic_head_model_assets_2026-06-19.csv
0x14,CI Male Lab Technician,MPBODY_CILABTECH,0x008E,0x000C,HEAD_DYNAMIC_OPTION,HEAD_DARK_FROCK,FILE_CHEADDARK_FROCK,0x01A4,Cheaddark_frockZ,False,,Dynamic head pool,expanded from 1000(dynamic) body slot; selectable MP head option,0x01,HEAD_DARK_FROCK,MPFEATURE_CHR_CI,base,expanded_dynamic_head,mp_character_model_assets_2026-06-18.csv+mp_dynamic_head_model_assets_2026-06-19.csv
0x14,CI Male Lab Technician,MPBODY_CILABTECH,0x008E,0x002F,HEAD_DYNAMIC_OPTION,HEAD_DARKAQUA,FILE_CHEADDARKAQUA,0x04AD,CheaddarkaquaZ,False,,Dynamic head pool,expanded from 1000(dynamic) body slot; selectable MP head option,0x02,HEAD_DARKAQUA,MPFEATURE_CHR_PELAGIC,base,expanded_dynamic_head,mp_character_model_assets_2026-06-18.csv+mp_dynamic_head_model_assets_2026-06-19.csv
0x14,CI Male Lab Technician,MPBODY_CILABTECH,0x008E,0x003C,HEAD_DYNAMIC_OPTION,HEAD_DARK_SNOW,FILE_CHEADDARK_SNOW,0x055A,Cheaddark_snowZ,False,,Dynamic head pool,expanded from 1000(dynamic) body slot; selectable MP head option,0x03,HEAD_DARK_SNOW,MPFEATURE_CHR_DARKSNOW,base,expanded_dynamic_head,mp_character_model_assets_2026-06-18.csv+mp_dynamic_head_model_assets_2026-06-19.csv
0x14,CI Male Lab Technician,MPBODY_CILABTECH,0x008E,0x0005,HEAD_DYNAMIC_OPTION,HEAD_ELVIS,FILE_CHEADELVIS,0x019D,CheadelvisZ,False,,Dynamic head pool,expanded from 1000(dynamic) body slot; selectable MP head option,0x04,HEAD_ELVIS,MPFEATURE_CHR_ELVIS,base,expanded_dynamic_head,mp_character_model_assets_2026-06-18.csv+mp_dynamic_head_model_assets_2026-06-19.csv
0x14,CI Male Lab Technician,MPBODY_CILABTECH,0x008E,0x003A,HEAD_DYNAMIC_OPTION,HEAD_ELVIS_GOGS,FILE_CHEADELVIS_GOGS,0x0553,Cheadelvis_gogsZ,False,,Dynamic head pool,expanded from 1000(dynamic) body slot; selectable MP head option,0x05,HEAD_ELVIS_GOGS,MPFEATURE_CHR_ELVIS,base,expanded_dynamic_head,mp_character_model_assets_2026-06-18.csv+mp_dynamic_head_model_assets_2026-06-19.csv
0x14,CI Male Lab Technician,MPBODY_CILABTECH,0x008E,0x0007,HEAD_DYNAMIC_OPTION,HEAD_CARRINGTON,FILE_CHEADCARRINGTON,0x019F,CheadcarringtonZ,False,,Dynamic head pool,expanded from 1000(dynamic) body slot; selectable MP head option,0x06,HEAD_CARRINGTON,0,base,expanded_dynamic_head,mp_character_model_assets_2026-06-18.csv+mp_dynamic_head_model_assets_2026-06-19.csv
0x14,CI Male Lab Technician,MPBODY_CILABTECH,0x008E,0x0008,HEAD_DYNAMIC_OPTION,HEAD_MRBLONDE,FILE_CHEADMRBLONDE,0x01A0,CheadmrblondeZ,False,,Dynamic head pool,expanded from 1000(dynamic) body slot; selectable MP head option,0x07,HEAD_MRBLONDE,MPFEATURE_CHR_MRBLONDE,base,expanded_dynamic_head,mp_character_model_assets_2026-06-18.csv+mp_dynamic_head_model_assets_2026-06-19.csv
0x14,CI Male Lab Technician,MPBODY_CILABTECH,0x008E,0x000E,HEAD_DYNAMIC_OPTION,HEAD_CASSANDRA,FILE_CHEADCASSANDRA,0x01A6,CheadcassandraZ,False,,Dynamic head pool,expanded from 1000(dynamic) body slot; selectable MP head option,0x08,HEAD_CASSANDRA,0,base,expanded_dynamic_head,mp_character_model_assets_2026-06-18.csv+mp_dynamic_head_model_assets_2026-06-19.csv
0x14,CI Male Lab Technician,MPBODY_CILABTECH,0x008E,0x0009,HEAD_DYNAMIC_OPTION,HEAD_TRENT,FILE_CHEADTRENT,0x01A1,CheadtrentZ,False,,Dynamic head pool,expanded from 1000(dynamic) body slot; selectable MP head option,0x09,HEAD_TRENT,MPFEATURE_CHR_TRENT,base,expanded_dynamic_head,mp_character_model_assets_2026-06-18.csv+mp_dynamic_head_model_assets_2026-06-19.csv
0x14,CI Male Lab Technician,MPBODY_CILABTECH,0x008E,0x0028,HEAD_DYNAMIC_OPTION,HEAD_JONATHAN,FILE_CHEADJONATHAN,0x033A,CheadjonathanZ,True,,Dynamic head pool,expanded from 1000(dynamic) body slot; selectable MP head option,0x0A,HEAD_JONATHAN,MPFEATURE_CHR_INFILTRATION,base,expanded_dynamic_head,mp_character_model_assets_2026-06-18.csv+mp_dynamic_head_model_assets_2026-06-19.csv
0x14,CI Male Lab Technician,MPBODY_CILABTECH,0x008E,0x003E,HEAD_DYNAMIC_OPTION,HEAD_VD,FILE_CHEAD_VD,0x0561,Chead_vdZ,False,,Dynamic head pool,expanded from 1000(dynamic) body slot; selectable MP head option,0x0B,HEAD_VD,0,base,expanded_dynamic_head,mp_character_model_assets_2026-06-18.csv+mp_dynamic_head_model_assets_2026-06-19.csv
0x14,CI Male Lab Technician,MPBODY_CILABTECH,0x008E,0x003D,HEAD_DYNAMIC_OPTION,HEAD_PRESIDENT,FILE_CHEADPRESIDENT,0x055B,CheadpresidentZ,False,,Dynamic head pool,expanded from 1000(dynamic) body slot; selectable MP head option,0x0C,HEAD_PRESIDENT,MPFEATURE_CHR_CI,base,expanded_dynamic_head,mp_character_model_assets_2026-06-18.csv+mp_dynamic_head_model_assets_2026-06-19.csv
0x14,CI Male Lab Technician,MPBODY_CILABTECH,0x008E,0x000A,HEAD_DYNAMIC_OPTION,HEAD_DDSHOCK,FILE_CHEADDDSHOCK,0x01A2,CheadddshockZ,False,,Dynamic head pool,expanded from 1000(dynamic) body slot; selectable MP head option,0x0D,HEAD_DDSHOCK,0,base,expanded_dynamic_head,mp_character_model_assets_2026-06-18.csv+mp_dynamic_head_model_assets_2026-06-19.csv
0x14,CI Male Lab Technician,MPBODY_CILABTECH,0x008E,0x001D,HEAD_DYNAMIC_OPTION,HEAD_BIOTECH,FILE_CHEADBIOTECH,0x01D0,CheadbiotechZ,False,,Dynamic head pool,expanded from 1000(dynamic) body slot; selectable MP head option,0x0E,HEAD_BIOTECH,MPFEATURE_CHR_BIOTECH,base,expanded_dynamic_head,mp_character_model_assets_2026-06-18.csv+mp_dynamic_head_model_assets_2026-06-19.csv
0x14,CI Male Lab Technician,MPBODY_CILABTECH,0x008E,0x0030,HEAD_DYNAMIC_OPTION,HEAD_DDSNIPER,FILE_CHEADDDSNIPER,0x04AE,CheadddsniperZ,False,,Dynamic head pool,expanded from 1000(dynamic) body slot; selectable MP head option,0x0F,HEAD_DDSNIPER,MPFEATURE_CHR_VILLACHRS,base,expanded_dynamic_head,mp_character_model_assets_2026-06-18.csv+mp_dynamic_head_model_assets_2026-06-19.csv
0x14,CI Male Lab Technician,MPBODY_CILABTECH,0x008E,0x0039,HEAD_DYNAMIC_OPTION,HEAD_A51FACEPLATE,FILE_CA51FACEPLATE,0x0511,Ca51faceplateZ,False,,Dynamic head pool,expanded from 1000(dynamic) body slot; selectable MP head option,0x10,HEAD_A51FACEPLATE,MPFEATURE_CHR_INFILTRATION,base,expanded_dynamic_head,mp_character_model_assets_2026-06-18.csv+mp_dynamic_head_model_assets_2026-06-19.csv
0x14,CI Male Lab Technician,MPBODY_CILABTECH,0x008E,0x000D,HEAD_DYNAMIC_OPTION,HEAD_SECRETARY,FILE_CHEADSECRETARY,0x01A5,CheadsecretaryZ,False,,Dynamic head pool,expanded from 1000(dynamic) body slot; selectable MP head option,0x11,HEAD_SECRETARY,0,base,expanded_dynamic_head,mp_character_model_assets_2026-06-18.csv+mp_dynamic_head_model_assets_2026-06-19.csv
0x14,CI Male Lab Technician,MPBODY_CILABTECH,0x008E,0x0010,HEAD_DYNAMIC_OPTION,HEAD_FEM_GUARD,FILE_CHEADFEM_GUARD,0x01A8,Cheadfem_guardZ,False,,Dynamic head pool,expanded from 1000(dynamic) body slot; selectable MP head option,0x12,HEAD_FEM_GUARD,MPFEATURE_CHR_FEMGUARD,base,expanded_dynamic_head,mp_character_model_assets_2026-06-18.csv+mp_dynamic_head_model_assets_2026-06-19.csv
0x14,CI Male Lab Technician,MPBODY_CILABTECH,0x008E,0x0019,HEAD_DYNAMIC_OPTION,HEAD_FEM_GUARD2,FILE_CHEADFEM_GUARD2,0x01C5,Cheadfem_guard2Z,False,,Dynamic head pool,expanded from 1000(dynamic) body slot; selectable MP head option,0x13,HEAD_FEM_GUARD2,MPFEATURE_CHR_FEMGUARD,base,expanded_dynamic_head,mp_character_model_assets_2026-06-18.csv+mp_dynamic_head_model_assets_2026-06-19.csv
0x14,CI Male Lab Technician,MPBODY_CILABTECH,0x008E,0x0029,HEAD_DYNAMIC_OPTION,HEAD_MAIAN_S,FILE_CHEADMAIAN_S,0x033B,Cheadmaian_sZ,False,,Dynamic head pool,expanded from 1000(dynamic) body slot; selectable MP head option,0x14,HEAD_MAIAN_S,MPFEATURE_CHR_ELVIS,base,expanded_dynamic_head,mp_character_model_assets_2026-06-18.csv+mp_dynamic_head_model_assets_2026-06-19.csv
0x14,CI Male Lab Technician,MPBODY_CILABTECH,0x008E,0x0011,HEAD_DYNAMIC_OPTION,HEAD_JON,FILE_CHEADJON,0x01A9,CheadjonZ,False,,Dynamic head pool,expanded from 1000(dynamic) body slot; selectable MP head option,0x15,HEAD_JON,0,base,expanded_dynamic_head,mp_character_model_assets_2026-06-18.csv+mp_dynamic_head_model_assets_2026-06-19.csv
0x14,CI Male Lab Technician,MPBODY_CILABTECH,0x008E,0x0018,HEAD_DYNAMIC_OPTION,HEAD_BEAU1,FILE_CHEADBEAU,0x01C2,CheadbeauZ,False,,Dynamic head pool,expanded from 1000(dynamic) body slot; selectable MP head option,0x16,HEAD_BEAU1,0,base,expanded_dynamic_head,mp_character_model_assets_2026-06-18.csv+mp_dynamic_head_model_assets_2026-06-19.csv
0x14,CI Male Lab Technician,MPBODY_CILABTECH,0x008E,0x0006,HEAD_DYNAMIC_OPTION,HEAD_ROSS,FILE_CHEADROSS,0x019E,CheadrossZ,False,,Dynamic head pool,expanded from 1000(dynamic) body slot; selectable MP head option,0x17,HEAD_ROSS,0,base,expanded_dynamic_head,mp_character_model_assets_2026-06-18.csv+mp_dynamic_head_model_assets_2026-06-19.csv
