concept,variant,engine_slot,current_model_file,texture_id,current_path,body_region,status,ownership_scope,runtime_note,notes
impact_effect,wall_hit_front,GENERAL_TEXTURE,N/A,0c52,mods/mod_allinone/ext_tex/effects/0C52-wall-hit-front-03.png,wall_hit_front_03,ACTIVE_FILE,renaissance_shared,Stack GE64 texture 0088 wall-hit front overlay,Runtime-owned by src/game/bg.c
impact_effect,wall_hit_front,GENERAL_TEXTURE,N/A,0c53,mods/mod_allinone/ext_tex/effects/0C53-wall-hit-front-04.png,wall_hit_front_04,ACTIVE_FILE,renaissance_shared,Stack GE64 texture 0088 wall-hit front overlay,Runtime-owned by src/game/bg.c
impact_effect,wall_hit_front,GENERAL_TEXTURE,N/A,0c59,mods/mod_allinone/ext_tex/effects/0C59-wall-hit-front-05.png,wall_hit_front_05,ACTIVE_FILE,renaissance_shared,Stack GE64 texture 0088 wall-hit front overlay,Runtime-owned by src/game/bg.c
impact_effect,wall_hit_front,GENERAL_TEXTURE,N/A,0c63,mods/mod_allinone/ext_tex/effects/0C63-wall-hit-front-06.png,wall_hit_front_06,ACTIVE_FILE,renaissance_shared,Stack GE64 texture 0088 wall-hit front overlay,Runtime-owned by src/game/bg.c
impact_effect,wall_hit_front,GENERAL_TEXTURE,N/A,0c69,mods/mod_allinone/ext_tex/effects/0C69-wall-hit-front-07.png,wall_hit_front_07,ACTIVE_FILE,renaissance_shared,Stack GE64 texture 0088 wall-hit front overlay,Runtime-owned by src/game/bg.c
impact_effect,wall_hit_front,GENERAL_TEXTURE,N/A,0c74,mods/mod_allinone/ext_tex/effects/0C74-wall-hit-front-08.png,wall_hit_front_08,ACTIVE_FILE,renaissance_shared,Stack GE64 texture 0088 wall-hit front overlay,Runtime-owned by src/game/bg.c
impact_effect,unclassified_effect,GENERAL_TEXTURE,N/A,002a,mods/mod_allinone/ext_tex/effects/002A.png,unclassified_effect,ACTIVE_FILE,renaissance_shared,general ext_tex lookup,Filename has texture id only; needs later labeling if this group becomes runtime-owned
impact_effect,unclassified_effect,GENERAL_TEXTURE,N/A,0ce4,mods/mod_allinone/ext_tex/effects/0CE4.png,unclassified_effect,ACTIVE_FILE,renaissance_shared,general ext_tex lookup,Filename has texture id only; needs later labeling if this group becomes runtime-owned
impact_effect,unclassified_effect,GENERAL_TEXTURE,N/A,0ce5,mods/mod_allinone/ext_tex/effects/0CE5.png,unclassified_effect,ACTIVE_FILE,renaissance_shared,general ext_tex lookup,Filename has texture id only; needs later labeling if this group becomes runtime-owned
impact_effect,unclassified_effect,GENERAL_TEXTURE,N/A,0ce6,mods/mod_allinone/ext_tex/effects/0CE6.png,unclassified_effect,ACTIVE_FILE,renaissance_shared,general ext_tex lookup,Filename has texture id only; needs later labeling if this group becomes runtime-owned
impact_effect,unclassified_effect,GENERAL_TEXTURE,N/A,0ce7,mods/mod_allinone/ext_tex/effects/0CE7.png,unclassified_effect,ACTIVE_FILE,renaissance_shared,general ext_tex lookup,Filename has texture id only; needs later labeling if this group becomes runtime-owned
